problem, optimum
abz5.fjs, 859..1176
abz6.fjs, 742..925
abz7.fjs, 492..638
abz8.fjs, 506..654
abz9.fjs, 497..668
car1.fjs, 5005..6176
car2.fjs, 5929..6455
car3.fjs, 5597..6856
car4.fjs, 6514..7789
car5.fjs, 4909..7229
car6.fjs, 5486..8478
car7.fjs, 4216..6123
car8.fjs, 4613..7689
la01.fjs, 609
la02.fjs, 655
la03.fjs, 550
la04.fjs, 568
la05.fjs, 503
la06.fjs, 833
la07.fjs, 762
la08.fjs, 845
la09.fjs, 878
la10.fjs, 866
la11.fjs, 1103
la12.fjs, 960
la13.fjs, 1053
la14.fjs, 1123
la15.fjs, 1111
la16.fjs, 892
la17.fjs, 707
la18.fjs, 842
la19.fjs, 796
la20.fjs, 857
la21.fjs, 895..1009
la22.fjs, 880
la23.fjs, 950
la24.fjs, 908
la25.fjs, 936
la26.fjs, 1089..1107
la27.fjs, 1181
la28.fjs, 1116..1142
la29.fjs, 1058..1111
la30.fjs, 1147..1195
la31.fjs, 1523..1533
la32.fjs, 1698
la33.fjs, 1547
la34.fjs, 1599
la35.fjs, 1736
la36.fjs, 1160
la37.fjs, 1397
la38.fjs, 1141
la39.fjs, 1184
la40.fjs, 1144
mt06.fjs, 55
mt10.fjs, 871
mt20.fjs, 1088
orb1.fjs, 695..988
orb2.fjs, 620..870
orb3.fjs, 648..960
orb4.fjs, 753..1016
orb5.fjs, 584..865
orb6.fjs, 715..1004
orb7.fjs, 275..387
orb8.fjs, 573..894
orb9.fjs, 659..933
orb10.fjs, 681..937
