problem, optimum
abz5.fjs, 859..860
abz6.fjs, 742
abz7.fjs, 492..495
abz8.fjs, 506..509
abz9.fjs, 497..500
car1.fjs, 5005..5013
car2.fjs, 5929..5930
car3.fjs, 5597..5600
car4.fjs, 6514..6517
car5.fjs, 4909..4932
car6.fjs, 5486
car7.fjs, 4216..4281
car8.fjs, 4613
la01.fjs, 570
la02.fjs, 529
la03.fjs, 477
la04.fjs, 502
la05.fjs, 457
la06.fjs, 799
la07.fjs, 749
la08.fjs, 765
la09.fjs, 853
la10.fjs, 804
la11.fjs, 1071
la12.fjs, 936
la13.fjs, 1038
la14.fjs, 1070
la15.fjs, 1089
la16.fjs, 717
la17.fjs, 646
la18.fjs, 663
la19.fjs, 617
la20.fjs, 756
la21.fjs, 800..804
la22.fjs, 733..735
la23.fjs, 809..813
la24.fjs, 773..775
la25.fjs, 751..756
la26.fjs, 1052..1053
la27.fjs, 1084
la28.fjs, 1069
la29.fjs, 993..994
la30.fjs, 1068..1069
la31.fjs, 1520
la32.fjs, 1657..1658
la33.fjs, 1497
la34.fjs, 1535
la35.fjs, 1549
la36.fjs, 948
la37.fjs, 986
la38.fjs, 943
la39.fjs, 922
la40.fjs, 955
mt06.fjs, 47
mt10.fjs, 655
mt20.fjs, 1022
orb1.fjs, 695
orb2.fjs, 620
orb3.fjs, 648
orb4.fjs, 753
orb5.fjs, 584
orb6.fjs, 715
orb7.fjs, 275
orb8.fjs, 573
orb9.fjs, 659
orb10.fjs, 681
