problem,optimum
la01.jss,666
la02.jss,655
la03.jss,597
la04.jss,590
la05.jss,593
la06.jss,926
la07.jss,890
la08.jss,863
la09.jss,951
la10.jss,958
la11.jss,1222
la12.jss,1039
la13.jss,1150
la14.jss,1292
la15.jss,1207
la16.jss,945
la17.jss,784
la18.jss,848
la19.jss,842
la20.jss,902
la21.jss,1046
la22.jss,927
la23.jss,1032
la24.jss,935
la25.jss,977
la26.jss,1218
la27.jss,1235
la28.jss,1216
la29.jss,1152
la30.jss,1355
la31.jss,1784
la32.jss,1850
la33.jss,1719
la34.jss,1721
la35.jss,1888
la36.jss,1268
la37.jss,1397
la38.jss,1196
la39.jss,1233
la40.jss,1222
