problem,optimum
pat1,19
pat2,7
pat3,20
pat4,6
pat5,7
pat6,8
pat7,8
pat8,11
pat9,19
pat10,14
pat11,18
pat12,13
pat13,20
pat14,43
pat15,43
pat16,32
pat17,29
pat18,41
pat19,31
pat20,37
pat21,48
pat22,36
pat23,32
pat24,40
pat25,33
pat26,43
pat27,36
pat28,43
pat29,29
pat30,32
pat31,35
pat32,22
pat33,31
pat34,30
pat35,31
pat36,33
pat37,28
pat38,30
pat39,31
pat40,31
pat41,36
pat42,28
pat43,41
pat44,31
pat45,39
pat46,33
pat47,35
pat48,23
pat49,18
pat50,25
pat51,25
pat52,27
pat53,28
pat54,50
pat55,29
pat56,27
pat57,21
pat58,35
pat59,31
pat60,39
pat61,36
pat62,37
pat63,40
pat64,37
pat65,40
pat66,38
pat67,27
pat68,41
pat69,30
pat70,31
pat71,32
pat72,41
pat73,36
pat74,30
pat75,34
pat76,43
pat77,64
pat78,53
pat79,45
pat80,38
pat81,36
pat82,34
pat83,34
pat84,33
pat85,31
pat86,31
pat87,29
pat88,40
pat89,31
pat90,39
pat91,35
pat92,28
pat93,26
pat94,36
pat95,33
pat96,26
pat97,30
pat98,41
pat99,37
pat100,33
pat101,75
pat102,83
pat103,56
pat104,79
pat105,76
pat106,60
pat107,78
pat108,61
pat109,60
pat110,50
